"AGE","GEO","UNIT","TIME","SEX","Value","Flag and Footnotes"
"13 years","Zadarska zupanija","Number","2011","Males","1,057",""
"13 years","Zadarska zupanija","Number","2011","Females","982",""
"13 years","Sibensko-kninska zupanija","Number","2011","Total","1,328",""
"13 years","Sibensko-kninska zupanija","Number","2011","Males","665",""
"13 years","Sibensko-kninska zupanija","Number","2011","Females","663",""
"13 years","Splitsko-dalmatinska zupanija","Number","2011","Total","5,614",""
"13 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,848",""
"13 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,766",""
"13 years","Istarska zupanija","Number","2011","Total","1,872",""
"13 years","Istarska zupanija","Number","2011","Males","935",""
"13 years","Istarska zupanija","Number","2011","Females","937",""
"13 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,509",""
"13 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","779",""
"13 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","730",""
"13 years","Kontinentalna Hrvatska","Number","2011","Total","33,915",""
"13 years","Kontinentalna Hrvatska","Number","2011","Males","17,263",""
"13 years","Kontinentalna Hrvatska","Number","2011","Females","16,652",""
"13 years","Grad Zagreb","Number","2011","Total","8,241",""
"13 years","Grad Zagreb","Number","2011","Males","4,165",""
"13 years","Grad Zagreb","Number","2011","Females","4,076",""
"13 years","Zagrebacka zupanija","Number","2011","Total","3,849",""
"13 years","Zagrebacka zupanija","Number","2011","Males","1,966",""
"13 years","Zagrebacka zupanija","Number","2011","Females","1,883",""
"13 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,560",""
"13 years","Krapinsko-zagorska zupanija","Number","2011","Males","764",""
"13 years","Krapinsko-zagorska zupanija","Number","2011","Females","796",""
"13 years","Varazdinska zupanija","Number","2011","Total","2,128",""
"13 years","Varazdinska zupanija","Number","2011","Males","1,092",""
"13 years","Varazdinska zupanija","Number","2011","Females","1,036",""
"13 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,403",""
"13 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","713",""
"13 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","690",""
"13 years","Medimurska zupanija","Number","2011","Total","1,352",""
"13 years","Medimurska zupanija","Number","2011","Males","671",""
"13 years","Medimurska zupanija","Number","2011","Females","681",""
"13 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,440",""
"13 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","730",""
"13 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","710",""
"13 years","Viroviticko-podravska zupanija","Number","2011","Total","1,136",""
"13 years","Viroviticko-podravska zupanija","Number","2011","Males","556",""
"13 years","Viroviticko-podravska zupanija","Number","2011","Females","580",""
"13 years","Pozesko-slavonska zupanija","Number","2011","Total","1,074",""
"13 years","Pozesko-slavonska zupanija","Number","2011","Males","571",""
"13 years","Pozesko-slavonska zupanija","Number","2011","Females","503",""
"13 years","Brodsko-posavska zupanija","Number","2011","Total","2,237",""
"13 years","Brodsko-posavska zupanija","Number","2011","Males","1,159",""
"13 years","Brodsko-posavska zupanija","Number","2011","Females","1,078",""
"13 years","Osjecko-baranjska zupanija","Number","2011","Total","3,798",""
"13 years","Osjecko-baranjska zupanija","Number","2011","Males","1,944",""
"13 years","Osjecko-baranjska zupanija","Number","2011","Females","1,854",""
"13 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,431",""
"13 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,223",""
"13 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,208",""
"13 years","Karlovacka zupanija","Number","2011","Total","1,290",""
"13 years","Karlovacka zupanija","Number","2011","Males","651",""
"13 years","Karlovacka zupanija","Number","2011","Females","639",""
"13 years","Sisacko-moslavacka zupanija","Number","2011","Total","1,976",""
"13 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,058",""
"13 years","Sisacko-moslavacka zupanija","Number","2011","Females","918",""
"14 years","Croatia","Number","2011","Total","50,766",""
"14 years","Croatia","Number","2011","Males","26,071",""
"14 years","Croatia","Number","2011","Females","24,695",""
"14 years","Hrvatska","Number","2011","Total","50,766",""
"14 years","Hrvatska","Number","2011","Males","26,071",""
"14 years","Hrvatska","Number","2011","Females","24,695",""
"14 years","Jadranska Hrvatska","Number","2011","Total","15,913",""
"14 years","Jadranska Hrvatska","Number","2011","Males","8,103",""
"14 years","Jadranska Hrvatska","Number","2011","Females","7,810",""
"14 years","Primorsko-goranska zupanija","Number","2011","Total","2,726",""
"14 years","Primorsko-goranska zupanija","Number","2011","Males","1,381",""
"14 years","Primorsko-goranska zupanija","Number","2011","Females","1,345",""
"14 years","Licko-senjska zupanija","Number","2011","Total","637",""
"14 years","Licko-senjska zupanija","Number","2011","Males","329",""
"14 years","Licko-senjska zupanija","Number","2011","Females","308",""
"14 years","Zadarska zupanija","Number","2011","Total","2,155",""
"14 years","Zadarska zupanija","Number","2011","Males","1,112",""
"14 years","Zadarska zupanija","Number","2011","Females","1,043",""
"14 years","Sibensko-kninska zupanija","Number","2011","Total","1,316",""
"14 years","Sibensko-kninska zupanija","Number","2011","Males","678",""
"14 years","Sibensko-kninska zupanija","Number","2011","Females","638",""
"14 years","Splitsko-dalmatinska zupanija","Number","2011","Total","5,534",""
"14 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,771",""
"14 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,763",""
"14 years","Istarska zupanija","Number","2011","Total","1,928",""
"14 years","Istarska zupanija","Number","2011","Males","978",""
"14 years","Istarska zupanija","Number","2011","Females","950",""
"14 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,617",""
"14 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","854",""
"14 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","763",""
"14 years","Kontinentalna Hrvatska","Number","2011","Total","34,853",""
"14 years","Kontinentalna Hrvatska","Number","2011","Males","17,968",""
"14 years","Kontinentalna Hrvatska","Number","2011","Females","16,885",""
"14 years","Grad Zagreb","Number","2011","Total","8,531",""
"14 years","Grad Zagreb","Number","2011","Males","4,410",""
"14 years","Grad Zagreb","Number","2011","Females","4,121",""
"14 years","Zagrebacka zupanija","Number","2011","Total","3,918",""
"14 years","Zagrebacka zupanija","Number","2011","Males","2,005",""
"14 years","Zagrebacka zupanija","Number","2011","Females","1,913",""
"14 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,638",""
"14 years","Krapinsko-zagorska zupanija","Number","2011","Males","869",""
"14 years","Krapinsko-zagorska zupanija","Number","2011","Females","769",""
"14 years","Varazdinska zupanija","Number","2011","Total","2,023",""
"14 years","Varazdinska zupanija","Number","2011","Males","1,033",""
"14 years","Varazdinska zupanija","Number","2011","Females","990",""
"14 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,462",""
"14 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","765",""
"14 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","697",""
"14 years","Medimurska zupanija","Number","2011","Total","1,456",""
"14 years","Medimurska zupanija","Number","2011","Males","753",""
"14 years","Medimurska zupanija","Number","2011","Females","703",""
"14 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,469",""
"14 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","779",""
"14 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","690",""
"14 years","Viroviticko-podravska zupanija","Number","2011","Total","1,169",""
"14 years","Viroviticko-podravska zupanija","Number","2011","Males","589",""
"14 years","Viroviticko-podravska zupanija","Number","2011","Females","580",""
"14 years","Pozesko-slavonska zupanija","Number","2011","Total","1,240",""
"14 years","Pozesko-slavonska zupanija","Number","2011","Males","623",""
"14 years","Pozesko-slavonska zupanija","Number","2011","Females","617",""
"14 years","Brodsko-posavska zupanija","Number","2011","Total","2,311",""
"14 years","Brodsko-posavska zupanija","Number","2011","Males","1,143",""
"14 years","Brodsko-posavska zupanija","Number","2011","Females","1,168",""
"14 years","Osjecko-baranjska zupanija","Number","2011","Total","3,792",""
"14 years","Osjecko-baranjska zupanija","Number","2011","Males","1,963",""
"14 years","Osjecko-baranjska zupanija","Number","2011","Females","1,829",""
"14 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,392",""
"14 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,213",""
"14 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,179",""
"14 years","Karlovacka zupanija","Number","2011","Total","1,375",""
"14 years","Karlovacka zupanija","Number","2011","Males","738",""
"14 years","Karlovacka zupanija","Number","2011","Females","637",""
"14 years","Sisacko-moslavacka zupanija","Number","2011","Total","2,077",""
"14 years","Sisacko-moslavacka zupanija","Number","2011","Males","1,085",""
"14 years","Sisacko-moslavacka zupanija","Number","2011","Females","992",""
"Less than 15 years","Croatia","Number","2011","Total","652,428",""
"Less than 15 years","Croatia","Number","2011","Males","334,725",""
"Less than 15 years","Croatia","Number","2011","Females","317,703",""
"Less than 15 years","Hrvatska","Number","2011","Total","652,428",""
"Less than 15 years","Hrvatska","Number","2011","Males","334,725",""
"Less than 15 years","Hrvatska","Number","2011","Females","317,703",""
"Less than 15 years","Jadranska Hrvatska","Number","2011","Total","208,346",""
"Less than 15 years","Jadranska Hrvatska","Number","2011","Males","106,826",""
"Less than 15 years","Jadranska Hrvatska","Number","2011","Females","101,520",""
"Less than 15 years","Primorsko-goranska zupanija","Number","2011","Total","36,967",""
"Less than 15 years","Primorsko-goranska zupanija","Number","2011","Males","19,023",""
"Less than 15 years","Primorsko-goranska zupanija","Number","2011","Females","17,944",""
"Less than 15 years","Licko-senjska zupanija","Number","2011","Total","6,925",""
"Less than 15 years","Licko-senjska zupanija","Number","2011","Males","3,585",""
"Less than 15 years","Licko-senjska zupanija","Number","2011","Females","3,340",""
"Less than 15 years","Zadarska zupanija","Number","2011","Total","26,837",""
"Less than 15 years","Zadarska zupanija","Number","2011","Males","13,738",""
"Less than 15 years","Zadarska zupanija","Number","2011","Females","13,099",""
"Less than 15 years","Sibensko-kninska zupanija","Number","2011","Total","15,450",""
"Less than 15 years","Sibensko-kninska zupanija","Number","2011","Males","7,940",""
"Less than 15 years","Sibensko-kninska zupanija","Number","2011","Females","7,510",""
"Less than 15 years","Splitsko-dalmatinska zupanija","Number","2011","Total","74,432",""
"Less than 15 years","Splitsko-dalmatinska zupanija","Number","2011","Males","37,948",""
"Less than 15 years","Splitsko-dalmatinska zupanija","Number","2011","Females","36,484",""
"Less than 15 years","Istarska zupanija","Number","2011","Total","27,816",""
"Less than 15 years","Istarska zupanija","Number","2011","Males","14,346",""
"Less than 15 years","Istarska zupanija","Number","2011","Females","13,470",""
"Less than 15 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","19,919",""
"Less than 15 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","10,246",""
"Less than 15 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","9,673",""
"Less than 15 years","Kontinentalna Hrvatska","Number","2011","Total","444,082",""
"Less than 15 years","Kontinentalna Hrvatska","Number","2011","Males","227,899",""
"Less than 15 years","Kontinentalna Hrvatska","Number","2011","Females","216,183",""
"Less than 15 years","Grad Zagreb","Number","2011","Total","116,059",""
"Less than 15 years","Grad Zagreb","Number","2011","Males","59,614",""
"Less than 15 years","Grad Zagreb","Number","2011","Females","56,445",""
"Less than 15 years","Zagrebacka zupanija","Number","2011","Total","51,854",""
"Less than 15 years","Zagrebacka zupanija","Number","2011","Males","26,510",""
"Less than 15 years","Zagrebacka zupanija","Number","2011","Females","25,344",""
"Less than 15 years","Krapinsko-zagorska zupanija","Number","2011","Total","19,942",""
"Less than 15 years","Krapinsko-zagorska zupanija","Number","2011","Males","10,210",""
"Less than 15 years","Krapinsko-zagorska zupanija","Number","2011","Females","9,732",""
"Less than 15 years","Varazdinska zupanija","Number","2011","Total","27,117",""
"Less than 15 years","Varazdinska zupanija","Number","2011","Males","13,772",""
"Less than 15 years","Varazdinska zupanija","Number","2011","Females","13,345",""
"Less than 15 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","18,151",""
"Less than 15 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","9,453",""
"Less than 15 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","8,698",""
"Less than 15 years","Medimurska zupanija","Number","2011","Total","19,221",""
"Less than 15 years","Medimurska zupanija","Number","2011","Males","9,850",""
"Less than 15 years","Medimurska zupanija","Number","2011","Females","9,371",""
"Less than 15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","18,441",""
"Less than 15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","9,493",""
"Less than 15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","8,948",""
"Less than 15 years","Viroviticko-podravska zupanija","Number","2011","Total","13,492",""
"Less than 15 years","Viroviticko-podravska zupanija","Number","2011","Males","6,953",""
"Less than 15 years","Viroviticko-podravska zupanija","Number","2011","Females","6,539",""
"Less than 15 years","Pozesko-slavonska zupanija","Number","2011","Total","13,142",""
"Less than 15 years","Pozesko-slavonska zupanija","Number","2011","Males","6,820",""
"Less than 15 years","Pozesko-slavonska zupanija","Number","2011","Females","6,322",""
"Less than 15 years","Brodsko-posavska zupanija","Number","2011","Total","27,063",""
"Less than 15 years","Brodsko-posavska zupanija","Number","2011","Males","14,011",""
"Less than 15 years","Brodsko-posavska zupanija","Number","2011","Females","13,052",""
"Less than 15 years","Osjecko-baranjska zupanija","Number","2011","Total","46,806",""
"Less than 15 years","Osjecko-baranjska zupanija","Number","2011","Males","23,918",""
"Less than 15 years","Osjecko-baranjska zupanija","Number","2011","Females","22,888",""
"Less than 15 years","Vukovarsko-srijemska zupanija","Number","2011","Total","30,451",""
"Less than 15 years","Vukovarsko-srijemska zupanija","Number","2011","Males","15,554",""
"Less than 15 years","Vukovarsko-srijemska zupanija","Number","2011","Females","14,897",""
"Less than 15 years","Karlovacka zupanija","Number","2011","Total","17,330",""
"Less than 15 years","Karlovacka zupanija","Number","2011","Males","8,907",""
"Less than 15 years","Karlovacka zupanija","Number","2011","Females","8,423",""
"Less than 15 years","Sisacko-moslavacka zupanija","Number","2011","Total","25,013",""
"Less than 15 years","Sisacko-moslavacka zupanija","Number","2011","Males","12,834",""
"Less than 15 years","Sisacko-moslavacka zupanija","Number","2011","Females","12,179",""
"15 years","Croatia","Number","2011","Total","49,222",""
"15 years","Croatia","Number","2011","Males","25,288",""
"15 years","Croatia","Number","2011","Females","23,934",""
"15 years","Hrvatska","Number","2011","Total","49,222",""
"15 years","Hrvatska","Number","2011","Males","25,288",""
"15 years","Hrvatska","Number","2011","Females","23,934",""
"15 years","Jadranska Hrvatska","Number","2011","Total","15,700",""
"15 years","Jadranska Hrvatska","Number","2011","Males","8,036",""
"15 years","Jadranska Hrvatska","Number","2011","Females","7,664",""
"15 years","Primorsko-goranska zupanija","Number","2011","Total","2,753",""
"15 years","Primorsko-goranska zupanija","Number","2011","Males","1,401",""
"15 years","Primorsko-goranska zupanija","Number","2011","Females","1,352",""
"15 years","Licko-senjska zupanija","Number","2011","Total","523",""
"15 years","Licko-senjska zupanija","Number","2011","Males","267",""
"15 years","Licko-senjska zupanija","Number","2011","Females","256",""
"15 years","Zadarska zupanija","Number","2011","Total","2,018",""
"15 years","Zadarska zupanija","Number","2011","Males","1,031",""
"15 years","Zadarska zupanija","Number","2011","Females","987",""
"15 years","Sibensko-kninska zupanija","Number","2011","Total","1,281",""
"15 years","Sibensko-kninska zupanija","Number","2011","Males","629",""
"15 years","Sibensko-kninska zupanija","Number","2011","Females","652",""
"15 years","Splitsko-dalmatinska zupanija","Number","2011","Total","5,646",""
"15 years","Splitsko-dalmatinska zupanija","Number","2011","Males","2,859",""
"15 years","Splitsko-dalmatinska zupanija","Number","2011","Females","2,787",""
"15 years","Istarska zupanija","Number","2011","Total","2,023",""
"15 years","Istarska zupanija","Number","2011","Males","1,083",""
"15 years","Istarska zupanija","Number","2011","Females","940",""
"15 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","1,456",""
"15 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","766",""
"15 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","690",""
"15 years","Kontinentalna Hrvatska","Number","2011","Total","33,522",""
"15 years","Kontinentalna Hrvatska","Number","2011","Males","17,252",""
"15 years","Kontinentalna Hrvatska","Number","2011","Females","16,270",""
"15 years","Grad Zagreb","Number","2011","Total","8,194",""
"15 years","Grad Zagreb","Number","2011","Males","4,272",""
"15 years","Grad Zagreb","Number","2011","Females","3,922",""
"15 years","Zagrebacka zupanija","Number","2011","Total","3,683",""
"15 years","Zagrebacka zupanija","Number","2011","Males","1,890",""
"15 years","Zagrebacka zupanija","Number","2011","Females","1,793",""
"15 years","Krapinsko-zagorska zupanija","Number","2011","Total","1,535",""
"15 years","Krapinsko-zagorska zupanija","Number","2011","Males","791",""
"15 years","Krapinsko-zagorska zupanija","Number","2011","Females","744",""
"15 years","Varazdinska zupanija","Number","2011","Total","2,103",""
"15 years","Varazdinska zupanija","Number","2011","Males","1,069",""
"15 years","Varazdinska zupanija","Number","2011","Females","1,034",""
"15 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","1,337",""
"15 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","694",""
"15 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","643",""
"15 years","Medimurska zupanija","Number","2011","Total","1,405",""
"15 years","Medimurska zupanija","Number","2011","Males","736",""
"15 years","Medimurska zupanija","Number","2011","Females","669",""
"15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","1,498",""
"15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","771",""
"15 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","727",""
"15 years","Viroviticko-podravska zupanija","Number","2011","Total","1,045",""
"15 years","Viroviticko-podravska zupanija","Number","2011","Males","535",""
"15 years","Viroviticko-podravska zupanija","Number","2011","Females","510",""
"15 years","Pozesko-slavonska zupanija","Number","2011","Total","1,106",""
"15 years","Pozesko-slavonska zupanija","Number","2011","Males","575",""
"15 years","Pozesko-slavonska zupanija","Number","2011","Females","531",""
"15 years","Brodsko-posavska zupanija","Number","2011","Total","2,159",""
"15 years","Brodsko-posavska zupanija","Number","2011","Males","1,132",""
"15 years","Brodsko-posavska zupanija","Number","2011","Females","1,027",""
"15 years","Osjecko-baranjska zupanija","Number","2011","Total","3,830",""
"15 years","Osjecko-baranjska zupanija","Number","2011","Males","1,956",""
"15 years","Osjecko-baranjska zupanija","Number","2011","Females","1,874",""
"15 years","Vukovarsko-srijemska zupanija","Number","2011","Total","2,451",""
"15 years","Vukovarsko-srijemska zupanija","Number","2011","Males","1,231",""
"15 years","Vukovarsko-srijemska zupanija","Number","2011","Females","1,220",""
"15 years","Karlovacka zupanija","Number","2011","Total","1,240",""
"15 years","Karlovacka zupanija","Number","2011","Males","656",""
"15 years","Karlovacka zupanija","Number","2011","Females","584",""
"15 years","Sisacko-moslavacka zupanija","Number","2011","Total","1,936",""
"15 years","Sisacko-moslavacka zupanija","Number","2011","Males","944",""
"15 years","Sisacko-moslavacka zupanija","Number","2011","Females","992",""
"From 15 to 19 years","Croatia","Number","2011","Total","244,177",""
"From 15 to 19 years","Croatia","Number","2011","Males","124,918",""
"From 15 to 19 years","Croatia","Number","2011","Females","119,259",""
"From 15 to 19 years","Hrvatska","Number","2011","Total","244,177",""
"From 15 to 19 years","Hrvatska","Number","2011","Males","124,918",""
"From 15 to 19 years","Hrvatska","Number","2011","Females","119,259",""
"From 15 to 19 years","Jadranska Hrvatska","Number","2011","Total","78,090",""
"From 15 to 19 years","Jadranska Hrvatska","Number","2011","Males","39,806",""
"From 15 to 19 years","Jadranska Hrvatska","Number","2011","Females","38,284",""
"From 15 to 19 years","Primorsko-goranska zupanija","Number","2011","Total","13,792",""
"From 15 to 19 years","Primorsko-goranska zupanija","Number","2011","Males","7,086",""
"From 15 to 19 years","Primorsko-goranska zupanija","Number","2011","Females","6,706",""
"From 15 to 19 years","Licko-senjska zupanija","Number","2011","Total","2,581",""
"From 15 to 19 years","Licko-senjska zupanija","Number","2011","Males","1,293",""
"From 15 to 19 years","Licko-senjska zupanija","Number","2011","Females","1,288",""
"From 15 to 19 years","Zadarska zupanija","Number","2011","Total","10,095",""
"From 15 to 19 years","Zadarska zupanija","Number","2011","Males","5,159",""
"From 15 to 19 years","Zadarska zupanija","Number","2011","Females","4,936",""
"From 15 to 19 years","Sibensko-kninska zupanija","Number","2011","Total","6,245",""
"From 15 to 19 years","Sibensko-kninska zupanija","Number","2011","Males","3,144",""
"From 15 to 19 years","Sibensko-kninska zupanija","Number","2011","Females","3,101",""
"From 15 to 19 years","Splitsko-dalmatinska zupanija","Number","2011","Total","28,015",""
"From 15 to 19 years","Splitsko-dalmatinska zupanija","Number","2011","Males","14,244",""
"From 15 to 19 years","Splitsko-dalmatinska zupanija","Number","2011","Females","13,771",""
"From 15 to 19 years","Istarska zupanija","Number","2011","Total","9,988",""
"From 15 to 19 years","Istarska zupanija","Number","2011","Males","5,103",""
"From 15 to 19 years","Istarska zupanija","Number","2011","Females","4,885",""
"From 15 to 19 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","7,374",""
"From 15 to 19 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","3,777",""
"From 15 to 19 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","3,597",""
"From 15 to 19 years","Kontinentalna Hrvatska","Number","2011","Total","166,087",""
"From 15 to 19 years","Kontinentalna Hrvatska","Number","2011","Males","85,112",""
"From 15 to 19 years","Kontinentalna Hrvatska","Number","2011","Females","80,975",""
"From 15 to 19 years","Grad Zagreb","Number","2011","Total","40,842",""
"From 15 to 19 years","Grad Zagreb","Number","2011","Males","20,866",""
"From 15 to 19 years","Grad Zagreb","Number","2011","Females","19,976",""
"From 15 to 19 years","Zagrebacka zupanija","Number","2011","Total","18,232",""
"From 15 to 19 years","Zagrebacka zupanija","Number","2011","Males","9,243",""
"From 15 to 19 years","Zagrebacka zupanija","Number","2011","Females","8,989",""
"From 15 to 19 years","Krapinsko-zagorska zupanija","Number","2011","Total","7,796",""
"From 15 to 19 years","Krapinsko-zagorska zupanija","Number","2011","Males","4,042",""
"From 15 to 19 years","Krapinsko-zagorska zupanija","Number","2011","Females","3,754",""
"From 15 to 19 years","Varazdinska zupanija","Number","2011","Total","10,230",""
"From 15 to 19 years","Varazdinska zupanija","Number","2011","Males","5,256",""
"From 15 to 19 years","Varazdinska zupanija","Number","2011","Females","4,974",""
"From 15 to 19 years","Koprivnicko-krizevacka zupanija","Number","2011","Total","6,786",""
"From 15 to 19 years","Koprivnicko-krizevacka zupanija","Number","2011","Males","3,505",""
"From 15 to 19 years","Koprivnicko-krizevacka zupanija","Number","2011","Females","3,281",""
"From 15 to 19 years","Medimurska zupanija","Number","2011","Total","6,971",""
"From 15 to 19 years","Medimurska zupanija","Number","2011","Males","3,647",""
"From 15 to 19 years","Medimurska zupanija","Number","2011","Females","3,324",""
"From 15 to 19 years","Bjelovarsko-bilogorska zupanija","Number","2011","Total","7,369",""
"From 15 to 19 years","Bjelovarsko-bilogorska zupanija","Number","2011","Males","3,866",""
"From 15 to 19 years","Bjelovarsko-bilogorska zupanija","Number","2011","Females","3,503",""
"From 15 to 19 years","Viroviticko-podravska zupanija","Number","2011","Total","5,441",""
"From 15 to 19 years","Viroviticko-podravska zupanija","Number","2011","Males","2,722",""
"From 15 to 19 years","Viroviticko-podravska zupanija","Number","2011","Females","2,719",""
"From 15 to 19 years","Pozesko-slavonska zupanija","Number","2011","Total","5,430",""
"From 15 to 19 years","Pozesko-slavonska zupanija","Number","2011","Males","2,755",""
"From 15 to 19 years","Pozesko-slavonska zupanija","Number","2011","Females","2,675",""
"From 15 to 19 years","Brodsko-posavska zupanija","Number","2011","Total","10,862",""
"From 15 to 19 years","Brodsko-posavska zupanija","Number","2011","Males","5,574",""
"From 15 to 19 years","Brodsko-posavska zupanija","Number","2011","Females","5,288",""
"From 15 to 19 years","Osjecko-baranjska zupanija","Number","2011","Total","18,709",""
"From 15 to 19 years","Osjecko-baranjska zupanija","Number","2011","Males","9,686",""
"From 15 to 19 years","Osjecko-baranjska zupanija","Number","2011","Females","9,023",""
"From 15 to 19 years","Vukovarsko-srijemska zupanija","Number","2011","Total","11,642",""
"From 15 to 19 years","Vukovarsko-srijemska zupanija","Number","2011","Males","5,906",""
"From 15 to 19 years","Vukovarsko-srijemska zupanija","Number","2011","Females","5,736",""
"From 15 to 19 years","Karlovacka zupanija","Number","2011","Total","6,295",""
"From 15 to 19 years","Karlovacka zupanija","Number","2011","Males","3,254",""
"From 15 to 19 years","Karlovacka zupanija","Number","2011","Females","3,041",""
"From 15 to 19 years","Sisacko-moslavacka zupanija","Number","2011","Total","9,482",""
"From 15 to 19 years","Sisacko-moslavacka zupanija","Number","2011","Males","4,790",""
"From 15 to 19 years","Sisacko-moslavacka zupanija","Number","2011","Females","4,692",""
"From 15 to 29 years","Croatia","Number","2011","Total","794,901",""
"From 15 to 29 years","Croatia","Number","2011","Males","405,789",""
"From 15 to 29 years","Croatia","Number","2011","Females","389,112",""
"From 15 to 29 years","Hrvatska","Number","2011","Total","794,901",""
"From 15 to 29 years","Hrvatska","Number","2011","Males","405,789",""
"From 15 to 29 years","Hrvatska","Number","2011","Females","389,112",""
"From 15 to 29 years","Jadranska Hrvatska","Number","2011","Total","255,724",""
"From 15 to 29 years","Jadranska Hrvatska","Number","2011","Males","130,206",""
"From 15 to 29 years","Jadranska Hrvatska","Number","2011","Females","125,518",""
"From 15 to 29 years","Primorsko-goranska zupanija","Number","2011","Total","50,693",""
"From 15 to 29 years","Primorsko-goranska zupanija","Number","2011","Males","25,793",""
"From 15 to 29 years","Primorsko-goranska zupanija","Number","2011","Females","24,900",""
"From 15 to 29 years","Licko-senjska zupanija","Number","2011","Total","8,223",""
"From 15 to 29 years","Licko-senjska zupanija","Number","2011","Males","4,245",""
"From 15 to 29 years","Licko-senjska zupanija","Number","2011","Females","3,978",""
"From 15 to 29 years","Zadarska zupanija","Number","2011","Total","31,252",""
"From 15 to 29 years","Zadarska zupanija","Number","2011","Males","15,811",""
"From 15 to 29 years","Zadarska zupanija","Number","2011","Females","15,441",""
"From 15 to 29 years","Sibensko-kninska zupanija","Number","2011","Total","18,924",""
"From 15 to 29 years","Sibensko-kninska zupanija","Number","2011","Males","9,688",""
"From 15 to 29 years","Sibensko-kninska zupanija","Number","2011","Females","9,236",""
"From 15 to 29 years","Splitsko-dalmatinska zupanija","Number","2011","Total","87,195",""
"From 15 to 29 years","Splitsko-dalmatinska zupanija","Number","2011","Males","44,307",""
"From 15 to 29 years","Splitsko-dalmatinska zupanija","Number","2011","Females","42,888",""
"From 15 to 29 years","Istarska zupanija","Number","2011","Total","36,557",""
"From 15 to 29 years","Istarska zupanija","Number","2011","Males","18,697",""
"From 15 to 29 years","Istarska zupanija","Number","2011","Females","17,860",""
"From 15 to 29 years","Dubrovacko-neretvanska zupanija","Number","2011","Total","22,880",""
"From 15 to 29 years","Dubrovacko-neretvanska zupanija","Number","2011","Males","11,665",""
"From 15 to 29 years","Dubrovacko-neretvanska zupanija","Number","2011","Females","11,215",""
"From 15 to 29 years","Kontinentalna Hrvatska","Number","2011","Total","539,177",""
"From 15 to 29 years","Kontinentalna Hrvatska","Number","2011","Males","275,583",""
"From 15 to 29 years","Kontinentalna Hrvatska","Number","2011","Females","263,594",""
"From 15 to 29 years","Grad Zagreb","Number","2011","Total","145,926",""
"From 15 to 29 years","Grad Zagreb","Number","2011","Males","72,910",""
"From 15 to 29 years","Grad Zagreb","Number","2011","Females","73,016",""
